Company,Year,Total Revenue,Net Income,Total Assets,Total Liabilities,Cash Flow from Operating Activities
Microsoft ,2023,"2,11,915","72,361","4,11,976","2,05,753","2,706"
,2022,"1,98,270","72,738","3,64,840","1,98,298","2,368"
,2021,"1,68,088","61,271","3,33,779","1,91,791","2,052"
,,,,,,
Tesla,2023,"96,773","14,974","1,06,618","43,009","13,256"
,2022,"81,462","12,587","82,338","36,440","14,724"
,2021,"53,823","5,644","82,338","36,440","11,497"
,,,,,,
Apple,2023,"1,21,000","96,995","3,52,583","2,90,437","1,22,151"
,2022,"1,24,000","99,803","3,52,755","3,02,083","1,04,038"
,2021,"1,19,000","94,680","3,51,002","2,87,912","80,674"
